0,1,2,3,4,5,6,7,8,9,10
505,496,488,480,455,489,513,512,488,510,505
530,489,455,538,472,489,522,508,497,440,522
497,505,488,497,447,472,516,585,514,480,488
455,472,473,481,489,455,486,509,463,490,598
514,472,455,538,480,505,506,500,523,456,480
506,488,505,489,464,474,471,508,489,505,505
496,507,464,505,455,513,514,520,479,470,497
489,596,471,530,505,496,489,539,524,471,488
464,497,489,472,489,463,496,481,487,479,522
496,489,464,530,505,492,489,520,514,476,481
514,480,488,489,464,503,471,549,539,495,496
513,489,455,488,505,480,556,480,497,465,539
514,497,447,506,467,489,489,520,489,480,463
488,488,488,480,452,491,496,497,487,504,506
473,489,456,522,497,486,523,481,499,462,514
539,497,446,480,489,508,471,532,513,499,463
505,497,489,513,439,497,514,478,522,490,522
480,464,455,506,522,503,505,515,473,471,480
514,497,497,463,472,521,480,529,487,514,489
472,472,447,530,438,473,531,496,489,470,521
506,471,455,481,522,513,479,489,455,480,481
529,447,483,480,456,566,630,515,464,505,498
498,506,446,522,438,481,446,512,522,466,522
498,513,472,455,506,554,489,497,472,460,505
530,481,471,505,463,506,515,555,499,500,530
539,489,473,506,456,530,513,474,529,445,514
480,505,497,463,506,522,539,539,506,490,497
539,481,463,522,455,497,490,503,497,462,513
489,497,455,488,498,463,505,464,539,449,489
488,497,539,515,481,531,505,537,472,505,513
531,505,455,513,463,489,514,506,521,461,497
488,521,473,480,447,487,505,499,532,465,498
472,464,496,489,514,529,481,539,479,505,529
514,514,498,505,447,465,454,528,488,446,472
471,506,496,480,504,497,539,471,482,457,513
481,513,480,506,497,513,505,472,521,498,523
530,514,464,488,473,473,481,489,482,462,480
472,498,522,489,429,522,506,513,488,475,538
506,529,464,496,481,496,513,547,488,504,498
529,524,504,473,463,506,480,497,490,465,513
489,464,506,497,472,504,514,522,461,505,522
472,521,439,489,506,488,506,488,523,486,497
531,506,538,489,488,532,480,486,497,465,530
472,487,472,536,489,487,513,540,496,514,489
521,506,471,481,438,490,497,483,515,471,504
506,506,506,505,455,513,497,514,497,480,514
471,472,464,522,456,482,522,521,513,505,464
506,496,488,480,489,506,497,498,506,446,522
506,473,489,513,480,504,472,538,513,499,489
471,505,479,506,463,481,523,518,498,461,496
506,464,489,471,456,522,463,468,505,465,514
496,488,472,589,455,520,504,546,446,495,480
481,472,505,480,480,513,507,514,507,450,505
489,472,481,489,481,491,480,480,471,486,497
455,481,471,506,487,487,513,530,513,480,488
514,489,522,514,439,514,496,535,489,450,514
498,480,464,455,481,529,490,513,522,505,472
454,488,505,496,497,498,497,521,557,520,497
498,489,489,472,422,446,480,477,528,465,522
479,455,521,498,504,514,489,530,489,471,463
456,507,481,513,422,489,504,591,506,445,506
497,496,479,479,446,505,490,478,521,500,496
505,481,456,499,489,465,514,547,473,460,547
489,546,522,495,456,495,487,513,504,466,548
513,514,455,430,488,499,490,484,473,499,463
464,472,480,480,489,486,529,477,515,446,489
514,529,514,483,430,481,514,522,487,480,512
496,532,463,487,497,522,481,513,506,480,465
523,471,506,512,498,522,529,480,472,446,513
488,538,488,498,454,489,489,481,498,490,497
472,464,464,496,457,500,497,539,480,461,497
514,472,513,456,553,493,557,488,471,475,513
463,522,472,497,464,523,446,497,498,485,489
515,455,497,455,448,464,505,505,463,456,514
504,489,489,472,471,546,507,488,464,509,496
556,506,481,521,530,506,479,530,489,470,515
515,471,472,483,513,471,498,481,446,481,522
514,514,480,480,473,481,505,505,482,529,497
489,488,440,505,472,463,471,513,505,465,489
496,514,488,464,463,480,481,509,455,530,530
481,481,464,503,464,464,529,501,514,485,480
514,496,462,498,454,497,474,533,463,500,513
