"","Alternative","num","mean","sd","min","max","se"
"1","X50",1000,348.081,62.2897138173505,295,2049,3.93954740925778
"2","X100",1000,348.647,51.6909503234885,300,1435,3.26922274881682
"3","X200",1000,349.381,67.8893128393396,301,2135,4.29369714712052
"4","X300",1000,348.271,49.7422541794283,300,1427,3.14597638316047
"5","X400",1000,347.006,70.4685588172603,300,2069,4.45682298584168
"6","X600",1000,345.525,48.6418894411845,300,1443,3.07638320656476
"7","X800",1000,348.157,65.7112495644339,301,2162,4.15594433038717
"8","X1000",1000,347.85,51.1623991920931,301,1453,3.23579424011546
"9","X1200",1000,345.704,63.976475155899,300,2040,4.04622756323634
"10","X1400",1000,345.266,46.8370254280835,294,1465,2.96223358359933
"11","X2000",1000,350.976,71.5510235634191,300,2171,4.52528406753563
"12","X2400",1000,349.828,49.7983965233449,300,1387,3.1495271367596
"13","X2800",1000,348.947,68.6700499982836,286,2129,4.34307530064436
"14","X3200",1000,347.921,53.1039620912581,300,1428,3.35858945975228
"15","X4000",1000,348.737,68.1132824803669,300,2116,4.30786223096805
