"","Alternative","num","mean","sd","min","max","se"
"1","X0",1000,1494.207,338.633948537506,1337,8593,21.4170914086953
"2","X1",1000,1471.301,189.565026569508,1294,4341,11.9891449733996
"3","X2",1000,1519.514,472.748519793523,1312,8606,29.8992416604145
"4","X3",1000,1495.644,578.183172571673,1291,16329,36.5675146021736
"5","X4",1000,1483.388,578.960090370867,1328,16509,36.6166511981772
"6","X5",1000,1468.242,244.086241991493,1295,4639,15.437369404083
"7","X6",1000,1456.618,288.818379145324,1303,8479,18.266478164346
"8","X7",1000,1461.016,272.0950044294,1293,8363,17.2087990790102
"9","X8",1000,1452.36,204.535471640396,1311,4440,12.9359590536085
"10","X9",1000,1468.113,271.060292025433,1291,4508,17.1433581206149
